2 double sided triangle(s) detected in Andromeda2_1:15.
10 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
42 double sided triangle(s) detected in unnamed geometry.
48 double sided triangle(s) detected in unnamed geometry.
34 double sided triangle(s) detected in unnamed geometry.
22 double sided triangle(s) detected in unnamed geometry.
20 double sided triangle(s) detected in unnamed geometry.
30 double sided triangle(s) detected in unnamed geometry.
26 double sided triangle(s) detected in unnamed geometry.
44 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
22 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
28 double sided triangle(s) detected in unnamed geometry.
16 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in Andromeda2_1:15.
20 double sided triangle(s) detected in unnamed geometry.
44 double sided triangle(s) detected in unnamed geometry.
46 double sided triangle(s) detected in unnamed geometry.
56 double sided triangle(s) detected in unnamed geometry.
48 double sided triangle(s) detected in unnamed geometry.
56 double sided triangle(s) detected in unnamed geometry.
34 double sided triangle(s) detected in unnamed geometry.
14 double sided triangle(s) detected in unnamed geometry.
20 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
22 double sided triangle(s) detected in unnamed geometry.
36 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in Andromeda2_1:15.
2 double sided triangle(s) detected in Andromeda2_1:12.
2 double sided triangle(s) detected in Andromeda2_1:12.
2 double sided triangle(s) detected in Andromeda2_1:12.
2 double sided triangle(s) detected in Andromeda2_1:12.
2 double sided triangle(s) detected in Andromeda2_1:7.
2 double sided triangle(s) detected in Andromeda2_1:12.
2 double sided triangle(s) detected in Andromeda2_1:12.
2 double sided triangle(s) detected in Andromeda2_1:12.
18 double sided triangle(s) detected in unnamed geometry.
36 double sided triangle(s) detected in unnamed geometry.
16 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
22 double sided triangle(s) detected in unnamed geometry.
30 double sided triangle(s) detected in unnamed geometry.
27 double sided triangle(s) detected in unnamed geometry.
27 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
36 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
3 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
30 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
14 double sided triangle(s) detected in unnamed geometry.
20 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
25 double sided triangle(s) detected in unnamed geometry.
23 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
16 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
28 double sided triangle(s) detected in unnamed geometry.
22 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
11 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
14 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
14 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
34 double sided triangle(s) detected in unnamed geometry.
20 double sided triangle(s) detected in unnamed geometry.
22 double sided triangle(s) detected in unnamed geometry.
3 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
14 double sided triangle(s) detected in unnamed geometry.
33 double sided triangle(s) detected in unnamed geometry.
27 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
36 double sided triangle(s) detected in unnamed geometry.
30 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
14 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
35 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
31 double sided triangle(s) detected in unnamed geometry.
54 double sided triangle(s) detected in unnamed geometry.
46 double sided triangle(s) detected in unnamed geometry.
36 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
18 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
24 double sided triangle(s) detected in unnamed geometry.
34 double sided triangle(s) detected in unnamed geometry.
36 double sided triangle(s) detected in unnamed geometry.
54 double sided triangle(s) detected in unnamed geometry.
76 double sided triangle(s) detected in unnamed geometry.
98 double sided triangle(s) detected in unnamed geometry.
64 double sided triangle(s) detected in unnamed geometry.
21 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
