1 double sided triangle(s) detected in Wings.
8 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
5 double sided triangle(s) detected in unnamed geometry.
5 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
13 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
9 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
25 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
32 double sided triangle(s) detected in unnamed geometry.
7 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
3 double sided triangle(s) detected in unnamed geometry.
5 double sided triangle(s) detected in unnamed geometry.
5 double sided triangle(s) detected in unnamed geometry.
6 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
26 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
12 double sided triangle(s) detected in unnamed geometry.
10 double sided triangle(s) detected in unnamed geometry.
2 double sided triangle(s) detected in unnamed geometry.
3 double sided triangle(s) detected in unnamed geometry.
4 double sided triangle(s) detected in unnamed geometry.
8 double sided triangle(s) detected in unnamed geometry.
1 double sided triangle(s) detected in unnamed geometry.
